951 890
733 617 389
842 566 369
833 216 910
79 619 -948
458 613 426
246 629 401
866 763 -55
398 11 -676
533 787 -751
534 673 -262
96 632 -288
326 240 -792
402 110 -807
549 856 739
768 400 -595
278 706 258
580 614 -666
797 870 539
684 386 -464
575 855 99
731 694 -729
125 828 -993
543 750 -67
505 373 -694
935 133 -95
564 577 -343
408 248 -309
120 327 -497
831 929 -978
935 869 -779
239 228 496
158 518 -940
685 361 -117
504 243 -57
549 430 596
173 561 28
392 35 -444
664 24 -909
875 802 -824
599 859 -169
103 214 -618
193 917 782
534 708 935
873 756 -889
395 185 -441
124 102 239
279 570 678
883 885 -578
800 758 -899
57 841 -541
476 155 977
412 67 -158
4 449 -676
375 21 538
195 921 316
397 46 -752
575 844 925
628 892 -956
723 772 -510
744 724 -265
826 585 345
841 463 -827
847 301 452
453 89 599
166 288 264
561 392 127
811 347 805
588 769 654
863 730 -217
71 804 103
522 930 -305
600 561 67
814 522 557
162 612 -719
265 931 992
124 457 -103
884 69 -917
344 833 -64
626 839 774
540 155 419
395 158 -246
891 801 -380
248 146 -53
334 604 195
173 765 393
941 249 698
428 564 945
367 283 -954
562 789 -29
118 317 -575
139 367 -613
595 489 -318
72 225 460
299 809 300
282 181 303
554 125 872
171 590 -436
4 819 598
918 196 -86
786 117 425
222 308 639
117 498 -740
74 477 359
515 873 338
25 796 -84
12 935 627
294 86 -917
853 492 -388
67 343 -983
180 19 409
566 658 -701
513 575 120
558 65 161
345 298 132
563 597 -884
850 950 -100
452 769 -293
302 537 269
22 744 798
789 555 104
194 819 -95
413 41 -690
52 390 376
155 573 -150
885 651 -379
112 226 603
703 510 -352
829 419 -255
578 849 134
132 282 -725
533 671 327
325 857 414
123 776 112
119 509 -760
743 53 806
802 321 -524
36 296 -791
34 296 -475
184 612 212
880 62 -693
830 816 54
570 125 -176
738 575 767
906 107 23
104 464 678
451 895 -726
900 593 -71
758 202 567
133 944 -213
449 605 839
824 67 -693
850 394 595
840 634 510
231 109 225
844 859 -427
884 177 -866
1 399 407
70 177 -326
716 371 201
214 787 646
660 212 174
941 309 531
259 410 258
410 638 40
141 584 -90
909 336 -182
284 899 135
599 778 -922
446 60 -742
607 431 -808
852 351 115
821 619 804
464 832 -790
748 163 -633
339 444 130
216 426 -848
222 114 343
276 364 931
406 935 318
927 873 -505
721 572 -614
612 320 -455
343 153 818
214 24 -91
464 43 -843
203 730 540
184 121 -996
551 473 -721
595 725 -468
570 267 -550
885 853 348
618 242 679
783 154 325
658 366 -543
421 185 689
858 162 -752
406 548 551
631 302 4
57 870 -67
797 808 -426
483 539 87
276 299 219
582 476 870
814 876 983
592 422 -84
43 635 489
735 116 -705
55 249 -251
680 856 611
805 502 471
476 810 -117
620 161 -896
190 553 450
698 59 -664
352 343 213
463 934 722
400 946 -925
25 378 -932
936 773 568
237 812 -728
51 359 -364
37 646 -392
454 879 587
632 559 888
129 63 439
168 558 712
701 290 -884
89 384 389
137 131 92
370 565 345
459 110 -425
440 189 -924
325 174 -809
335 5 -391
430 156 256
409 128 -311
613 250 846
373 477 9
619 518 114
667 764 -968
19 351 748
144 80 -830
868 742 -111
152 452 -26
354 741 199
422 260 -37
236 510 519
298 27 241
648 911 828
552 950 871
453 588 -721
816 449 411
396 254 -901
389 139 874
758 10 -919
591 161 -552
685 70 849
176 833 184
203 81 -792
273 580 827
333 948 587
652 97 -589
126 137 732
358 807 904
783 624 -266
520 305 -714
143 408 386
745 894 -746
598 601 -129
638 272 -710
421 488 -48
629 222 356
