19
938 1851
615 564 961
101 31 489
384 870 193
726 79 164
386 162 841
743 898 462
165 310 12
905 50 717
676 632 720
894 662 938
367 615 853
520 574 334
510 238 487
562 395 743
660 134 743
611 157 768
691 727 503
191 761 140
497 240 326
474 373 328
138 879 996
748 935 152
874 174 720
529 6 873
763 391 664
252 789 278
601 279 11
769 54 361
579 700 605
214 716 1
102 171 688
609 101 170
700 493 830
540 620 914
666 838 59
352 209 205
410 759 147
665 775 465
222 77 152
499 284 744
658 166 845
718 482 234
806 927 173
843 654 592
573 193 176
220 740 217
361 77 597
639 513 709
780 58 652
317 16 606
802 286 421
67 346 261
177 67 721
530 65 437
617 450 828
748 930 934
516 285 446
612 104 974
459 42 572
893 755 360
148 895 930
914 932 597
314 183 168
720 490 590
541 690 490
908 225 728
571 800 680
546 797 344
349 117 192
556 498 307
185 412 797
441 319 242
149 760 934
832 54 50
870 90 875
827 313 264
223 645 172
774 678 388
92 443 864
693 532 690
461 632 346
376 547 945
582 565 858
336 231 182
821 930 603
287 857 79
774 109 191
93 83 312
198 210 925
123 601 829
644 664 572
270 184 229
301 565 419
337 375 438
48 184 462
694 578 636
434 463 285
524 880 427
385 572 802
652 348 820
88 30 972
260 691 590
234 709 953
632 604 149
311 470 38
160 501 112
92 837 18
791 799 681
173 149 811
699 2 550
218 828 810
101 36 20
238 625 511
380 13 423
439 416 274
396 412 46
213 776 74
237 488 100
585 366 705
508 435 714
567 325 320
16 227 779
472 445 404
400 758 155
670 254 355
502 174 866
641 687 720
5 590 428
392 703 933
923 514 602
362 512 345
161 717 260
824 349 245
824 723 481
314 204 520
632 148 525
30 171 685
632 146 733
539 364 123
895 430 332
723 106 561
345 269 863
128 673 532
202 595 344
780 595 744
754 760 661
214 298 533
322 208 81
13 879 180
33 424 623
248 468 264
907 177 39
862 281 613
332 396 182
379 875 70
100 743 839
358 832 902
50 34 438
151 856 547
300 632 41
702 546 270
720 146 358
549 844 316
176 867 487
820 873 583
58 280 127
540 661 252
728 149 719
212 485 585
330 420 607
863 629 418
492 575 758
667 433 988
776 570 805
327 503 30
560 276 234
506 846 328
20 283 312
282 721 262
37 342 707
211 804 443
68 848 654
818 104 923
93 700 289
763 280 648
568 632 490
433 453 314
604 739 368
72 277 586
164 347 710
689 641 532
200 52 807
719 395 772
374 847 779
563 421 190
543 836 997
15 836 529
114 519 956
886 11 576
48 327 338
131 126 705
398 325 934
57 688 40
218 537 630
689 386 430
730 199 194
427 648 455
763 825 988
852 599 42
416 84 453
183 818 8
915 373 286
876 441 211
284 718 132
449 59 403
700 687 584
550 526 427
884 651 801
578 315 201
379 431 397
191 743 437
567 602 703
77 347 809
910 171 558
62 492 905
275 214 602
397 169 164
180 354 307
809 927 518
679 667 670
430 577 277
768 32 987
661 614 184
210 473 416
676 133 407
867 231 608
656 490 29
921 41 755
61 884 261
742 185 853
923 728 30
752 890 868
444 735 974
101 584 3
662 743 801
732 30 744
889 541 653
683 532 858
385 314 469
164 368 57
357 670 420
286 779 583
590 804 82
327 790 524
593 196 490
136 867 853
260 269 301
54 245 402
915 153 854
67 37 514
903 144 506
883 257 415
436 748 552
853 238 258
491 685 78
246 505 779
709 323 771
802 4 522
921 622 483
109 461 71
412 776 989
216 103 147
822 929 390
367 932 659
54 859 846
633 498 612
647 888 818
682 369 920
764 380 780
926 647 412
394 768 199
474 254 114
543 78 208
860 420 289
908 189 204
578 68 705
61 762 175
837 16 294
286 70 292
745 659 593
314 801 935
895 387 717
308 747 104
18 458 455
580 2 798
845 937 479
36 372 106
279 156 339
88 783 543
59 871 438
148 516 338
79 76 300
78 571 362
855 683 889
582 808 592
4 230 467
127 169 311
876 909 298
596 192 363
268 604 927
479 530 451
78 403 470
635 35 2
848 461 397
327 391 218
574 83 689
701 656 275
786 796 545
892 685 321
11 707 644
187 826 482
865 927 141
864 282 708
784 530 170
697 430 898
876 450 836
900 761 820
115 649 268
468 254 553
683 680 211
834 412 654
700 876 707
806 136 247
228 902 974
636 436 505
735 769 822
484 704 709
446 816 241
324 455 940
855 10 400
639 588 981
261 370 63
404 573 81
718 881 988
732 365 234
334 787 987
746 676 149
455 503 178
764 759 168
296 333 373
373 187 37
219 78 807
361 159 532
77 610 625
281 575 127
97 839 459
706 163 255
345 376 860
613 456 234
311 538 320
141 320 453
194 750 406
19 12 210
502 380 608
362 80 838
934 869 260
154 37 170
546 400 154
205 77 437
5 179 664
85 443 157
290 862 559
508 698 673
670 598 360
501 633 876
422 867 688
736 586 204
317 216 307
854 513 779
690 903 780
619 265 716
185 208 598
932 140 862
474 397 303
139 282 163
741 161 979
156 601 266
829 709 248
585 865 858
918 574 869
37 647 189
339 48 506
564 765 197
856 684 318
123 16 276
919 319 914
