974 2809
137 100 133
737 377 498
849 547 842
710 122 974
970 267 419
314 390 809
909 650 605
299 348 548
214 137 445
315 121 161
568 871 67
216 961 60
454 477 885
329 867 55
842 8 530
371 431 816
455 695 912
391 629 3
650 9 868
846 940 156
490 134 331
640 963 536
75 935 472
322 886 150
361 490 357
343 250 359
462 457 449
476 415 928
90 226 897
370 56 800
38 324 18
463 374 628
61 209 432
756 392 265
675 775 895
565 274 4
435 338 748
31 869 556
511 269 40
176 700 853
940 842 757
806 366 157
82 258 55
51 32 700
73 112 516
896 838 213
469 453 284
928 30 168
727 43 935
257 542 868
485 903 40
520 418 676
280 489 484
804 317 544
415 799 740
28 608 847
591 881 900
266 963 570
452 685 29
395 854 925
591 793 995
247 745 645
491 829 616
893 377 41
582 923 208
900 46 30
728 588 532
206 16 931
383 274 3
635 428 5
412 849 115
64 508 693
536 222 90
939 913 93
291 170 555
558 494 316
690 18 270
366 77 836
290 519 277
282 662 324
748 204 3
336 565 723
808 130 348
47 565 52
46 848 401
408 691 605
484 687 700
596 817 788
846 310 472
553 438 788
48 221 451
478 822 121
214 150 234
405 424 491
934 334 250
954 898 603
340 520 13
712 439 251
264 243 489
589 909 243
237 266 723
746 934 817
748 687 542
202 428 326
573 290 820
90 342 797
649 495 12
550 101 95
619 210 212
851 128 374
912 842 703
732 233 921
121 595 740
61 188 368
404 134 344
68 643 454
237 172 949
28 631 414
831 516 284
858 41 127
310 480 310
974 584 671
548 904 846
279 704 446
435 651 391
415 514 435
796 539 880
834 353 37
609 101 138
369 168 222
548 202 949
559 425 948
438 63 304
60 726 174
929 630 339
606 712 10
834 614 806
663 657 340
55 176 343
519 46 824
457 122 146
745 202 73
314 718 629
683 738 186
236 506 555
804 47 905
18 921 786
290 454 986
765 968 740
847 255 745
663 287 54
487 530 560
916 834 852
33 912 331
617 650 398
320 516 165
1 590 312
740 169 822
563 801 201
485 105 869
644 170 110
755 320 418
28 430 262
469 965 503
57 396 835
497 208 753
10 79 633
468 836 794
944 834 4
499 916 848
458 485 739
12 811 62
347 62 105
954 463 509
808 139 670
410 135 187
956 498 874
512 809 677
267 183 967
23 117 751
444 425 121
845 710 780
151 23 9
948 967 636
668 377 194
541 620 215
781 373 844
121 862 573
284 851 842
665 879 237
598 316 780
325 294 74
27 441 126
974 799 174
560 481 666
958 743 83
281 156 177
510 409 926
365 743 636
58 411 542
126 599 509
263 630 941
463 962 440
866 263 452
721 905 555
934 280 777
845 951 906
905 634 108
790 547 275
509 135 597
511 107 842
825 653 616
608 255 837
106 394 131
676 160 533
818 366 315
3 851 24
416 696 940
646 244 987
3 971 913
159 648 46
304 30 128
893 13 61
666 518 638
602 216 174
615 331 19
823 49 944
847 244 634
877 850 761
671 629 190
879 957 392
322 500 19
70 224 216
106 213 634
523 955 949
848 39 932
871 410 755
17 518 749
972 878 48
337 409 933
454 402 546
454 391 459
480 765 679
614 956 403
241 795 560
926 806 980
85 193 420
231 246 336
395 69 566
163 861 687
629 680 693
779 708 558
872 658 15
801 93 729
10 233 259
115 122 184
360 668 402
893 605 673
880 569 423
465 494 248
215 314 487
385 131 163
182 283 34
112 283 790
427 220 494
742 641 693
100 882 867
61 639 831
310 514 472
469 607 865
949 321 702
459 62 724
414 465 598
456 224 662
871 17 21
236 562 439
770 779 91
216 830 344
173 178 222
269 170 282
786 836 595
637 152 256
797 835 499
60 62 65
742 283 514
937 55 858
439 835 618
938 84 397
526 101 380
224 732 642
852 234 210
326 315 342
754 561 534
22 414 630
236 608 7
92 907 775
909 217 646
60 155 116
749 767 198
447 172 488
352 335 760
809 841 141
47 208 56
814 616 42
61 784 900
955 446 376
821 454 31
893 215 275
545 232 48
956 419 428
960 938 342
318 751 879
829 951 632
972 46 631
617 907 750
560 180 571
389 723 231
210 465 482
371 864 49
80 236 812
456 263 429
754 706 245
33 772 790
176 733 327
336 971 948
102 692 688
925 103 851
969 163 790
764 466 990
421 461 104
876 51 966
640 900 686
600 973 230
280 698 470
711 12 439
105 80 759
660 304 287
742 668 735
502 665 703
640 684 24
452 639 335
895 663 658
579 666 652
838 586 172
946 5 988
528 229 261
492 312 548
238 175 957
57 308 387
239 102 660
375 463 858
827 734 952
14 243 617
253 402 627
342 658 483
743 852 177
739 553 487
835 638 52
630 135 260
601 388 432
581 233 624
826 439 565
174 230 524
836 887 519
153 640 579
77 273 912
873 139 675
862 735 658
491 75 164
46 21 96
257 528 30
619 447 620
53 854 903
714 578 559
656 485 576
571 174 245
644 411 513
4 69 598
308 892 592
49 263 119
22 524 475
891 770 803
279 551 617
132 928 911
299 325 360
112 108 569
825 48 148
303 240 512
587 873 904
968 881 872
659 560 774
666 613 742
602 10 848
