17
987 821
396 238 99
849 369 649
598 547 -741
887 750 803
234 682 -652
979 587 111
75 57 -538
964 572 -39
477 978 73
857 724 346
242 495 -328
727 815 -458
92 16 949
136 604 -136
397 625 391
790 220 973
127 779 -663
300 537 -17
168 724 -70
958 88 25
901 961 320
801 241 -171
562 857 430
574 432 471
189 717 -795
6 43 -59
819 460 315
693 195 -945
449 505 2
760 142 140
820 67 -194
962 316 773
720 940 646
413 156 -866
356 82 -181
203 685 -603
649 614 -426
629 667 -805
842 323 11
483 556 -593
421 698 -858
937 254 -38
660 153 613
682 160 -864
532 681 544
611 430 -372
880 882 -986
678 602 -925
901 395 -590
411 146 290
246 642 -404
462 466 854
307 430 -674
818 819 -789
763 317 -26
643 260 -850
437 808 -33
98 665 390
631 364 191
452 421 -652
309 801 -386
847 641 685
173 686 -230
545 863 687
412 716 518
582 834 -401
419 981 464
864 808 -414
908 262 -147
521 397 -705
391 793 427
311 621 475
273 364 -668
401 33 -807
212 715 192
663 154 211
814 426 -851
607 269 -943
933 306 36
579 173 -606
256 221 -732
196 238 -770
226 571 -127
956 624 -959
609 917 239
245 558 603
97 582 652
457 797 62
673 227 518
309 782 -261
490 356 748
150 293 215
503 575 893
382 171 359
370 452 687
676 384 -38
910 537 301
143 42 -704
213 556 854
527 899 -412
717 314 -187
572 744 539
426 270 -413
317 942 -217
31 946 -397
165 166 929
293 954 997
676 405 476
82 201 677
393 182 -155
730 704 381
472 834 -910
930 517 -873
423 133 821
94 110 540
191 606 980
390 16 -932
566 687 -632
836 586 222
381 684 664
809 817 -311
261 582 125
340 345 750
194 231 673
489 333 18
675 868 -198
946 578 -201
403 317 423
736 962 520
603 1 607
816 798 -285
924 495 -458
301 262 -877
487 113 -963
907 941 246
782 795 760
273 428 -223
413 374 900
661 524 -219
860 46 -861
538 892 -119
317 807 188
269 774 533
127 232 14
720 200 -1000
851 683 -367
492 504 -33
115 89 909
35 320 -169
825 521 -873
716 682 449
646 952 112
660 783 -48
483 400 401
295 383 830
446 726 -249
183 961 -103
859 165 848
258 379 -377
659 802 675
193 97 847
486 22 937
33 443 872
806 78 767
371 580 751
427 85 70
589 20 351
338 342 -651
241 372 782
47 409 -212
917 832 -718
885 278 -841
369 122 76
900 503 -77
184 642 123
464 942 394
788 145 -108
307 914 133
812 387 -542
716 429 -407
154 567 633
980 269 -494
159 579 -378
309 763 166
545 200 -567
677 626 349
723 482 -836
573 866 -519
425 260 -778
243 404 -450
475 179 -916
171 552 454
595 969 163
59 768 445
970 498 881
317 244 85
63 966 290
35 811 -584
593 937 -407
219 118 -189
199 134 -185
658 635 -848
272 141 296
828 55 -150
152 545 -569
553 231 -115
481 914 692
959 388 385
899 4 -836
438 865 686
429 107 801
933 639 398
879 883 -467
652 521 -473
358 547 -760
126 246 -163
472 214 -772
266 98 -994
418 763 -291
685 709 -747
869 384 339
762 330 -845
188 987 643
1 185 -655
296 944 107
191 271 -508
414 440 -124
602 103 -897
747 35 -945
304 33 945
880 928 -233
155 559 210
91 475 58
257 608 597
831 275 -765
843 807 -819
677 74 72
377 350 -674
337 66 -767
709 384 -890
190 665 -748
829 760 -646
980 527 137
531 488 -618
590 213 -279
720 306 -156
745 869 910
676 293 217
958 323 -144
375 830 -834
883 199 -849
673 962 647
174 676 -783
517 21 -345
149 301 -841
834 106 -953
770 412 -616
840 576 572
653 303 -434
923 610 818
115 418 -595
332 394 76
147 208 -160
452 686 -153
463 165 -566
63 352 747
637 750 -522
858 439 -483
967 194 186
112 540 81
760 799 -73
99 162 974
622 575 271
951 245 662
5 397 -865
684 186 280
450 627 585
236 510 909
115 253 -927
500 373 -538
5 881 -703
172 756 -432
113 70 256
917 276 -639
25 589 -180
557 520 345
912 248 121
799 322 -85
220 597 136
749 472 -895
790 655 -952
899 159 695
94 593 -374
924 111 -739
349 275 -993
447 314 -676
784 879 634
68 734 480
58 258 -340
96 327 -340
549 603 369
197 715 -949
919 107 530
232 74 -921
926 810 -933
498 458 888
971 834 102
865 217 -502
490 785 -888
674 156 525
979 557 -447
867 870 5
871 133 -111
854 49 999
577 863 611
501 134 437
269 829 -32
157 974 538
526 105 -517
193 692 776
397 439 671
14 380 654
395 27 -949
743 647 -193
567 66 759
582 849 -915
967 562 -378
918 801 -747
322 502 730
358 708 367
117 747 -465
113 146 383
325 200 976
25 665 -955
587 413 -971
638 434 327
27 811 -185
763 918 339
885 898 669
982 158 131
142 640 -506
278 369 -458
223 980 -669
786 243 631
567 180 503
611 387 834
464 576 -534
140 100 -535
754 362 -794
349 610 150
584 701 253
303 443 -542
445 281 -175
803 149 -264
313 675 -458
280 57 -232
324 705 -102
782 215 -111
829 435 -65
420 360 -168
243 533 -608
327 137 -377
403 260 -343
714 813 195
9 860 496
648 61 -184
842 759 958
520 81 744
339 936 887
74 51 -855
245 252 606
697 815 -354
274 864 -49
