8071 24849
6636 1266 -966
6086 243 827
2138 1717 -282
3954 1656 788
7009 344 -893
5214 1452 -843
2085 4367 794
5249 4045 414
6342 3016 653
1961 4617 234
1901 4852 -745
7712 3767 188
7513 537 -58
4675 7528 -541
3755 5749 961
6634 582 -412
1340 2253 162
6512 3386 -897
5923 2019 423
6649 2934 666
56 5680 -329
6342 2129 -137
3138 241 847
1188 2471 -724
5828 7885 -658
2581 7471 -466
7380 5258 -807
7057 7359 -156
2445 4453 756
6562 567 108
1076 3948 -822
6151 3077 487
2270 3793 889
1244 4197 -780
4854 4215 -131
3949 140 -57
5376 11 782
4009 1840 -749
3945 8056 -459
4754 7261 -428
2139 4109 -978
3073 5426 254
5275 5838 -683
5666 7562 -713
1774 418 407
3576 4441 -426
5710 6594 -774
1170 7909 122
2715 4690 -213
91 3255 985
1474 6435 -304
2268 3290 -207
1017 7941 -794
476 279 108
4528 2027 -439
2769 7821 935
2250 6895 -194
7047 7981 18
2214 6752 -462
268 1503 -410
1977 570 -857
1725 3794 -462
6443 2177 971
2134 3731 -635
3439 4114 751
5032 3296 671
5319 3500 -420
7181 6675 628
2796 1467 770
2958 2731 627
5801 7978 -305
3269 439 592
7344 7704 500
5816 5791 583
7426 6295 92
5306 4957 -193
661 2958 795
1502 4585 418
2297 3367 -312
2470 4336 -564
1723 3412 -572
7870 1300 -882
1096 5589 -721
5941 7909 -717
5565 1617 -450
5088 6564 885
4787 6686 -763
4924 2889 9
1130 7102 291
4962 7528 229
1478 3435 -633
5110 5678 -233
5535 4617 -885
7567 3354 715
3813 4343 -621
1961 831 -592
679 1202 -260
4825 3818 -988
5418 4078 -497
7463 3106 -477
7781 6078 273
5981 2602 820
2407 6148 526
2292 2531 -568
2989 4097 174
4107 4353 579
806 4157 77
1100 1183 736
1361 1677 544
7299 1265 -719
6125 7426 138
787 7151 -224
5547 7552 476
4128 8031 31
5102 3393 -907
7847 5983 -49
3052 4802 -832
5163 3491 749
5756 6485 -897
520 6394 535
1335 4633 -990
1829 2974 855
7251 6912 77
2840 4354 -187
1707 365 -195
185 7174 312
1105 483 753
4886 547 -893
2748 5009 283
7293 7231 675
6956 2214 724
81 5862 768
5800 3896 -888
6818 3804 -781
6745 4486 -665
5526 5213 684
1367 5540 446
126 1326 150
297 6577 858
4991 1357 56
568 7273 496
1280 6009 365
924 431 -622
2864 1087 665
584 879 -9
1114 1468 228
15 2778 414
254 5515 -732
4485 3832 253
794 1459 -328
7393 7941 987
1755 7123 -181
4162 1984 437
3662 3602 608
4249 1615 -979
3058 2566 938
752 3957 696
710 639 911
4992 6517 884
2442 3974 669
6966 6987 979
4782 5045 721
2462 1332 -377
4260 7399 885
811 861 -687
671 4882 762
2004 1326 230
890 3385 78
3053 4690 -839
4542 5950 -902
7581 4802 371
2986 6532 -79
4054 2506 410
